Constraints(%),algorithm,NMI,RI,cost,runtime
0%,Greedy,0.056442004,0.5094019,2641.8423,1.66E+09
0%,Greedy,0.09558605,0.5385257,2799.0708,1.63E+09
0%,Greedy,0.087709926,0.5656762,2912.68,1.65E+09
0%,Matching,0.08848882,0.5744585,2706.5964,1.94E+09
0%,Matching,0.058551658,0.51421463,2615.8542,1.79E+09
0%,Matching,0.051644456,0.50330955,2635.2744,1.67E+09
0%,Matching,0.040681113,0.4612933,2701.6443,1.63E+09
0%,Matching,0.086379856,0.568386,2611.3047,1.72E+09
0%,Matching,0.08882526,0.5674283,2873.0198,1.68E+09
0%,Matching,0.07702696,0.5701899,2532.0925,1.70E+09
0%,Matching,0.06302145,0.55270195,3041.917,1.69E+09
0%,Matching,0.066898346,0.5347384,2866.2092,1.70E+09
0%,Matching,0.07718918,0.57168406,2565.3726,1.71E+09
0%,Matching,0.07482811,0.56810206,2560.7776,1.78E+09
0%,Matching,0.095135495,0.5561282,3009.2236,1.66E+09
0%,Matching,0.080552205,0.5548246,2765.3125,1.64E+09
0%,Matching,0.09080573,0.5684891,2666.7666,1.68E+09
0%,Matching,0.08950189,0.56490034,2596.7134,1.81E+09
0%,Matching,0.07689401,0.55729437,2529.135,1.74E+09
0%,Matching,0.067675434,0.5196798,2808.762,1.71E+09
0%,Matching,0.07723063,0.5591493,2591.4497,1.76E+09
0%,Matching,0.09044346,0.54156154,2890.919,1.66E+09
0%,Matching,0.07896492,0.5722881,2535.0432,1.70E+09
0%,Matching,0.04096349,0.45999783,2678.9207,1.65E+09
0%,Matching,0.062321957,0.52375704,2938.6245,1.84E+09
0%,Matching,0.08556144,0.5741402,2884.1047,1.74E+09
0%,Matching,0.08777963,0.572654,2748.3252,1.65E+09
0%,Matching,0.09147732,0.5429506,2892.9807,1.64E+09
0%,Matching,0.0908222,0.5802733,2640.5437,1.72E+09
0%,Matching,0.08990948,0.56714696,2611.3005,1.77E+09
0%,Matching,0.06962278,0.5349081,2971.0486,1.69E+09
