Constraints(%),algorithm,ACC,Purity,F-1,ARI,NMI,RI,cost,runtime
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.52E+09
0%,greedy,0.58696157,0.5998337,0.61238766,0.9975364,0.011306143,0.46187535,0.67728275,1.53E+09
0%,greedy,0.5868704,0.5998425,0.6123121,0.9975357,0.011319356,0.46189472,0.67728275,1.51E+09
0%,greedy,0.58689845,0.59984076,0.6123369,0.99753594,0.011327891,0.4618936,0.67728275,1.54E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.61E+09
0%,greedy,0.5868248,0.5998513,0.61227804,0.9975353,0.011348968,0.46193781,0.67728275,1.53E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.55E+09
0%,greedy,0.5869546,0.5998355,0.61238086,0.99753636,0.011310901,0.46187496,0.67728275,1.51E+09
0%,greedy,0.5860111,0.5969682,0.61195266,0.9975377,0.005379926,0.45943445,0.64007324,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.51E+09
0%,greedy,0.5860111,0.5969682,0.61195266,0.9975377,0.005379926,0.45943445,0.64007324,1.53E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.52E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.86E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.51E+09
0%,greedy,0.5859655,0.5969682,0.6119144,0.9975373,0.00537317,0.4594335,0.64035356,1.54E+09
0%,greedy,0.5860076,0.5969682,0.6119499,0.9975376,0.005377272,0.45943308,0.64007324,1.52E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.5868283,0.5998513,0.61228085,0.9975353,0.011348655,0.4619392,0.67728275,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.54E+09
0%,greedy,0.5943359,0.6033604,0.6148983,0.99755883,0.01935476,0.46238634,0.69615877,1.53E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.51E+09
0%,greedy,0.58801556,0.59982675,0.6121287,0.99753326,0.01117153,0.4622163,0.67728275,1.53E+09
0%,greedy,0.586083,0.59696645,0.61198336,0.9975382,0.005565489,0.45932606,0.675569,1.53E+09
0%,greedy,0.5873439,0.599818,0.61257356,0.9975385,0.011171007,0.46173492,0.675569,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.51E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.51E+09
0%,greedy,0.5860251,0.5969682,0.6119287,0.9975377,0.005300899,0.45932987,0.6397248,1.53E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.58691597,0.5998478,0.6123455,0.997536,0.011338454,0.4618951,0.67728275,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.5869581,0.59982324,0.6123926,0.9975365,0.011285676,0.46186897,0.67728275,1.52E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.53E+09
0%,greedy,0.58603036,0.5969682,0.6119334,0.99753773,0.005291016,0.45931274,0.638764,1.51E+09
0%,greedy,0.5835366,0.5969612,0.6079348,0.9974946,0.004255208,0.4618262,0.675569,1.55E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.52E+09
0%,greedy,0.58732986,0.5998197,0.61256224,0.9975383,0.011185971,0.46175313,0.675569,1.53E+09
0%,greedy,0.58735615,0.5998425,0.61256707,0.9975383,0.011235366,0.46177426,0.675569,1.54E+09
0%,greedy,0.58695984,0.5998355,0.6123852,0.9975364,0.011310518,0.461877,0.67728275,1.50E+09
0%,greedy,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.54E+09
0%,greedy,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.51E+09
0%,greedy,0.5860637,0.59696645,0.6119703,0.9975381,0.005574599,0.45932347,0.675569,1.53E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,2.24E+09
0%,matching,0.5860865,0.59696645,0.6119862,0.9975382,0.005566832,0.4593274,0.675569,1.83E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.51E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.5868336,0.5998495,0.6122891,0.99753535,0.011354472,0.4619466,0.67728275,1.51E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.51E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.47E+09
0%,matching,0.5860093,0.5969682,0.61195135,0.9975377,0.005378705,0.45943376,0.64007324,1.51E+09
0%,matching,0.5869581,0.59982324,0.61239403,0.99753654,0.011289476,0.46187234,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.63E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.47E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.50E+09
0%,matching,0.5868283,0.5998513,0.61228085,0.9975353,0.011348655,0.4619392,0.67728275,1.47E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.5861409,0.5969682,0.6122443,0.9975412,0.005115501,0.4590585,0.6242309,1.47E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.51E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.5860076,0.5969682,0.6119499,0.9975376,0.005377272,0.45943308,0.64007324,1.47E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.50E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.48E+09
0%,matching,0.5860935,0.59696645,0.61199164,0.99753827,0.005560916,0.45931774,0.675569,1.50E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.47E+09
0%,matching,0.5869546,0.59982324,0.61238974,0.9975365,0.011282886,0.46186757,0.67728275,1.50E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.48E+09
0%,matching,0.5860111,0.5969682,0.61195266,0.9975377,0.005379926,0.45943445,0.64007324,1.50E+09
0%,matching,0.58599705,0.5969682,0.61194193,0.99753755,0.005377936,0.4594365,0.64007324,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.47E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.50E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.48E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.51E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.5868915,0.59983903,0.6123322,0.9975359,0.011318236,0.46189,0.67728275,1.47E+09
