Constraints(%),algorithm,NMI,RI,cost,runtime
0%,matching,0.3036274,0.60403526,287.26816,5.42E+07
0%,matching,0.016983582,0.50043714,280.56015,5.50E+07
0%,matching,0.014996683,0.61893344,255.15877,5.04E+07
0%,matching,0.09428238,0.5067413,255,5.21E+07
0%,matching,0.08113241,0.50305414,255,5.16E+07
0%,matching,0.017336145,0.5005328,281.05695,9.87E+07
0%,matching,0.043766476,0.54603964,262.50714,2.60E+07
0%,matching,0.06399462,0.50652975,255,2.42E+07
0%,matching,0.049189057,0.5610927,258.50726,2.59E+07
0%,matching,0.020058729,0.6363923,242.42525,2.09E+07
0%,matching,0.010105313,0.61908877,255.22343,2.16E+07
0%,matching,0.061108697,0.5026274,280.2606,2.51E+07
0%,matching,0.109893546,0.5128162,272.61877,2.35E+07
0%,matching,0.031526014,0.52150387,266.95694,2.65E+07
0%,matching,0.097348936,0.5070103,255,2.61E+07
0%,matching,0.05338332,0.56871104,258.4976,2.59E+07
0%,matching,0.097066015,0.50701994,255,2.38E+07
0%,matching,0.051571332,0.5065709,255,2.43E+07
0%,matching,0.029287182,0.62535065,255,2.24E+07
0%,matching,0.010105313,0.61908877,255.22343,5.52E+07
0%,matching,0.017701874,0.5002577,283.1148,2.93E+07
0%,matching,0.022542296,0.6368574,246.92914,2.11E+07
0%,matching,0.012239213,0.65353215,259.975,2.08E+07
0%,matching,0.0176085,0.5000897,284.43277,2.66E+07
0%,matching,0.022741513,0.5040862,271.38348,3.64E+07
0%,matching,0.017738087,0.50013894,283.98062,2.66E+07
0%,matching,0.005568407,0.6094003,256.12888,2.16E+07
0%,matching,0.10042899,0.5204029,266.59708,2.32E+07
0%,matching,0.112889566,0.50399446,256.14645,2.41E+07
0%,matching,0.04826613,0.50665915,255,2.43E+07
0%,matching,0.124138065,0.5048406,296.36127,3.31E+07
0%,matching,0.018553715,0.5029229,274.2736,2.67E+07
0%,matching,0.09505452,0.5066431,255,2.40E+07
0%,matching,0.031526014,0.52150387,266.95694,2.65E+07
0%,matching,0.036683995,0.53203934,264.10037,2.65E+07
0%,matching,0.046115693,0.5060528,255,2.46E+07
0%,matching,0.022323908,0.6083112,234.38857,2.32E+07
0%,matching,0.007842681,0.61343384,255.6345,2.18E+07
0%,matching,0.097066015,0.50701994,255,2.39E+07
0%,matching,0.022771508,0.6362986,250.98605,2.10E+07
0%,matching,0.09828014,0.5071414,255,2.42E+07
0%,matching,0.017475924,0.50068974,280.81668,2.68E+07
