Constraints(%),algorithm,NMI,RI,cost,runtime
0%,matching,0.43854138,0.7016441,445.6714,520260
0%,matching,0.37722188,0.6856472,330.15604,503742
0%,matching,0.29351005,0.59880656,420.0017,507385
0%,matching,0.3381653,0.6551768,375.25204,506495
0%,matching,0.39760706,0.678347,280.06003,498224
0%,matching,0.30685657,0.6019171,445.6714,491815
0%,matching,0.40493733,0.62616646,402.58118,502803
0%,matching,0.37540296,0.6568273,360.5176,522472
0%,matching,0.40493733,0.62616646,402.58118,500373
0%,matching,0.42367083,0.62915,458.1332,491882
0%,matching,0.41860217,0.6885673,395.2833,518603
0%,matching,0.39760706,0.678347,280.06003,497836
0%,matching,0.4134157,0.70119977,436.20465,845689
0%,matching,0.3090964,0.5924586,447.0844,494701
0%,matching,0.29704565,0.606805,415.25095,501931
0%,matching,0.33230898,0.6517489,347.06342,506926
0%,matching,0.30685657,0.6019171,445.6714,497140
0%,matching,0.33816534,0.6551768,338.09506,507113
0%,matching,0.39760706,0.678347,287.6908,504150
0%,matching,0.33230898,0.6517489,353.85083,503100
0%,matching,0.43148112,0.6444487,362.44635,498742
0%,matching,0.4023339,0.6634292,292.73538,490200
0%,matching,0.3381653,0.6551768,375.23828,497127
0%,matching,0.3754484,0.6763791,336.21985,500105
0%,matching,0.2986971,0.6263569,351.20166,495516
0%,matching,0.39760706,0.678347,280.06003,904552
0%,matching,0.41761333,0.67263377,284.80078,494204
0%,matching,0.41860217,0.6885673,400.2329,522649
0%,matching,0.3921765,0.69104296,417.86618,500570
0%,matching,0.41928962,0.6996128,310.54602,503533
0%,matching,0.40493733,0.62616646,402.38074,492399
0%,matching,0.39133692,0.689456,325.0879,496392
0%,matching,0.43724883,0.7090078,455.11984,507140
0%,matching,0.40493733,0.62616646,402.0166,485369
0%,matching,0.4046419,0.65543073,312.42514,491759
0%,matching,0.33230898,0.6517489,353.85083,516398
0%,matching,0.3381653,0.6551768,375.25204,500927
0%,matching,0.39760706,0.678347,295.09033,503303
0%,matching,0.33230898,0.6517489,353.85083,1151883
0%,matching,0.31817156,0.62616646,309.15234,528010
0%,matching,0.33387753,0.65276456,365.15192,499826
0%,matching,0.41860217,0.6885673,395.2833,523625
0%,matching,0.31817156,0.62616646,309.15234,529628
0%,matching,0.3090964,0.5924586,447.0844,497192
0%,matching,0.43148112,0.6444487,352.10065,490002
0%,matching,0.43148112,0.6444487,352.12814,491881
0%,matching,0.43574685,0.70710343,319.13812,502568
0%,matching,0.43574685,0.70710343,319.13812,501630
0%,matching,0.29351005,0.59880656,420.0017,500573
0%,matching,0.41860217,0.6885673,395.12036,529233
0%,matching,0.40493733,0.62616646,402.0166,490747
0%,matching,0.43854138,0.7016441,445.6714,521000
0%,matching,0.3381653,0.6551768,375.21164,502418
0%,matching,0.3381653,0.6551768,375.23828,501056
0%,matching,0.40493733,0.62616646,402.0166,498040
0%,matching,0.41860217,0.6885673,390.20877,519545
0%,matching,0.33387753,0.65276456,370.2466,496094
0%,matching,0.4125092,0.69834316,310.2361,497812
0%,matching,0.40493733,0.62616646,407.09482,492733
0%,matching,0.41928962,0.6996128,310.54602,497644
0%,matching,0.43197316,0.6966292,300.40082,497514
0%,matching,0.41860217,0.6885673,395.2833,521072
0%,matching,0.40493733,0.62616646,402.38074,496192
0%,matching,0.4125092,0.69834316,310.2361,509020
0%,matching,0.38774788,0.65435153,302.09537,490727
0%,matching,0.43996763,0.7025328,305.09323,504340
0%,matching,0.39760706,0.678347,276.31845,1.08E+07
0%,matching,0.41860217,0.6885673,395.2833,538639
0%,matching,0.42367083,0.62915,458.1332,392601
0%,matching,0.33816534,0.6551768,338.09506,366174
0%,matching,0.41860217,0.6885673,400.20447,765247
0%,matching,0.40493733,0.62616646,382.1189,343582
0%,matching,0.33230898,0.6517489,353.85083,349530
0%,matching,0.43148112,0.6444487,353.85083,346399
0%,matching,0.42367083,0.62915,442.04318,341728
0%,matching,0.4037552,0.67142767,282.3348,342292
0%,matching,0.43148112,0.6444487,372.02484,345703
0%,matching,0.42367083,0.62915,447.12683,343500
0%,matching,0.39760706,0.678347,295.09033,351074
0%,matching,0.42367083,0.62915,432.14514,341569
0%,matching,0.42965725,0.65054274,337.1307,342178
0%,matching,0.37540296,0.6568273,370.02737,359145
0%,this work,0.40808743,0.6785374,270.188,1.47E+07
0%,this work,0.41633993,0.68666285,250.03934,4138530
0%,this work,0.40464187,0.65543073,335.89014,7401072
0%,this work,0.3915517,0.66266745,353.08948,7818412
0%,this work,0.43405274,0.64667046,366.28165,4547816
0%,this work,0.45211872,0.6952961,242.11357,3058529
0%,this work,0.4108371,0.686155,250.25732,5934322
0%,this work,0.41633993,0.68666285,250.03934,2.09E+07
0%,this work,0.33515882,0.59537864,395.0055,1001626
0%,this work,0.33515882,0.59537864,395.0055,740148
0%,this work,0.39561668,0.6803783,309.15234,1354829
0%,this work,0.45211872,0.6952961,242.11357,1897755
0%,this work,0.43240234,0.6885673,250.066,6210992
0%,this work,0.39548,0.6427347,382.1189,807132
0%,this work,0.45191872,0.695804,251.94344,3024680
0%,this work,0.40652755,0.67472863,265.00412,1107852
0%,this work,0.45191872,0.695804,255.02202,1009457
0%,this work,0.4369772,0.64901924,370.23965,926704
0%,this work,0.38358858,0.67879134,309.22,911593
0%,this work,0.39449543,0.68031484,289.33554,802548
0%,this work,0.31331939,0.6155653,360.3344,667119
0%,this work,0.4130591,0.6528915,397.53055,632882
0%,this work,0.39685532,0.68056875,315.23865,832328
0%,this work,0.41354606,0.6887577,280.3703,859042
0%,this work,0.32870328,0.6202628,380.61615,661308
0%,this work,0.41354606,0.6887577,280.3703,860897
0%,this work,0.40664512,0.67091984,302.09537,735670
0%,this work,0.41633993,0.68666285,250.03934,829996
0%,this work,0.33808386,0.60426587,390.16458,635923
0%,this work,0.41474408,0.68082273,256.7621,900370
0%,this work,0.40664512,0.67091984,312.42514,739118
0%,this work,0.39548,0.6427347,382.1189,657383
0%,this work,0.4108371,0.686155,255.16788,773562
0%,this work,0.3915517,0.66266745,347.1517,680669
0%,this work,0.327025,0.6325779,325.02722,796958
0%,this work,0.41633993,0.68666285,265.393,910362
0%,this work,0.39449543,0.68031484,281.7927,1250934
0%,this work,0.39449543,0.68031484,281.7927,791852
0%,this work,0.39561668,0.6803783,310.3186,1110794
0%,this work,0.41633993,0.68666285,250.03934,1099056
